START_POS                      1211 38
1779107766.453 MOUSE_MOVE      -2 1
1779107766.473 MOUSE_MOVE      0 2
1779107766.493 MOUSE_MOVE      -1 10
1779107766.513 MOUSE_MOVE      -2 7
1779107766.533 MOUSE_MOVE      0 11
1779107766.553 MOUSE_MOVE      0 11
1779107766.573 MOUSE_MOVE      0 11
1779107766.593 MOUSE_MOVE      -1 21
1779107766.613 MOUSE_MOVE      -4 20
1779107766.633 MOUSE_MOVE      -3 13
1779107766.653 MOUSE_MOVE      -1 11
1779107766.673 MOUSE_MOVE      -1 15
1779107766.693 MOUSE_MOVE      0 17
1779107766.713 MOUSE_MOVE      0 15
1779107766.733 MOUSE_MOVE      0 22
1779107766.753 MOUSE_MOVE      0 22
1779107766.773 MOUSE_MOVE      0 13
1779107766.793 MOUSE_MOVE      0 6
1779107766.813 MOUSE_MOVE      0 22
1779107766.833 MOUSE_MOVE      0 14
1779107766.853 MOUSE_MOVE      -2 12
1779107766.873 MOUSE_MOVE      -1 7
1779107766.893 MOUSE_MOVE      -4 35
1779107766.913 MOUSE_MOVE      0 18
1779107766.933 MOUSE_MOVE      0 17
1779107766.953 MOUSE_MOVE      -2 35
1779107766.973 MOUSE_MOVE      -2 14
1779107766.993 MOUSE_MOVE      -5 8
1779107767.013 MOUSE_MOVE      0 1
1779107767.033 MOUSE_MOVE      1 2
1779107767.253 MOUSE_MOVE      3 -2
1779107767.273 MOUSE_MOVE      1 -1
1779107767.313 MOUSE_MOVE      1 0
1779107767.333 MOUSE_MOVE      1 0
1779107767.413 MOUSE_MOVE      1 -1
1779107767.433 MOUSE_MOVE      1 -2
1779107767.453 MOUSE_MOVE      0 -1
1779107767.473 MOUSE_MOVE      0 -6
1779107767.493 MOUSE_MOVE      2 -7
1779107767.513 MOUSE_MOVE      1 -3
1779107767.533 MOUSE_MOVE      3 -18
1779107767.553 MOUSE_MOVE      2 -8
1779107767.573 MOUSE_MOVE      2 -8
1779107767.593 MOUSE_MOVE      2 -12
1779107767.613 MOUSE_MOVE      0 -9
1779107767.633 MOUSE_MOVE      0 -6
1779107767.653 MOUSE_MOVE      0 -6
1779107767.673 MOUSE_MOVE      0 -9
1779107767.693 MOUSE_MOVE      0 -8
1779107767.713 MOUSE_MOVE      0 -4
1779107767.733 MOUSE_MOVE      0 -16
1779107767.753 MOUSE_MOVE      0 -14
1779107767.773 MOUSE_MOVE      0 -8
1779107767.793 MOUSE_MOVE      0 -10
1779107767.813 MOUSE_MOVE      0 -10
1779107767.833 MOUSE_MOVE      0 -5
1779107767.853 MOUSE_MOVE      0 -3
1779107767.873 MOUSE_MOVE      0 -2
