START_POS                      1275 62
1779108268.052 MOUSE_MOVE      -10 7
1779108268.072 MOUSE_MOVE      -16 6
1779108268.092 MOUSE_MOVE      -15 8
1779108268.112 MOUSE_MOVE      -29 11
1779108268.132 MOUSE_MOVE      -11 5
1779108268.152 MOUSE_MOVE      -13 6
1779108268.172 MOUSE_MOVE      -16 5
1779108268.192 MOUSE_MOVE      -33 13
1779108268.212 MOUSE_MOVE      -8 4
1779108268.232 MOUSE_MOVE      -19 8
1779108268.252 MOUSE_MOVE      -6 3
1779108268.272 MOUSE_MOVE      -5 2
1779108268.292 MOUSE_MOVE      -8 4
1779108268.312 MOUSE_MOVE      -24 7
1779108268.332 MOUSE_MOVE      -15 4
1779108268.352 MOUSE_MOVE      -26 5
1779108268.372 MOUSE_MOVE      -8 1
1779108268.392 MOUSE_MOVE      -37 8
1779108268.413 MOUSE_MOVE      -21 4
1779108268.432 MOUSE_MOVE      -21 4
1779108268.452 MOUSE_MOVE      -20 1
1779108268.472 MOUSE_MOVE      -39 2
1779108268.492 MOUSE_MOVE      -14 2
1779108268.512 MOUSE_MOVE      -20 1
1779108268.532 MOUSE_MOVE      -9 1
1779108268.552 MOUSE_MOVE      -20 5
1779108268.572 MOUSE_MOVE      -24 5
1779108268.592 MOUSE_MOVE      -14 1
1779108268.612 MOUSE_MOVE      -17 0
1779108268.632 MOUSE_MOVE      -11 0
1779108268.652 MOUSE_MOVE      -5 0
1779108268.672 MOUSE_MOVE      -5 0
1779108268.692 MOUSE_MOVE      -6 1
1779108268.712 MOUSE_MOVE      -9 0
1779108268.732 MOUSE_MOVE      -6 0
1779108268.752 MOUSE_MOVE      -5 0
1779108268.772 MOUSE_MOVE      -8 0
1779108268.792 MOUSE_MOVE      -9 1
1779108268.812 MOUSE_MOVE      -2 0
1779108268.832 MOUSE_MOVE      -5 2
1779108268.872 MOUSE_MOVE      -1 0
1779108268.912 MOUSE_MOVE      2 4
1779108268.932 MOUSE_MOVE      8 3
1779108268.952 MOUSE_MOVE      9 5
1779108268.972 MOUSE_MOVE      19 8
1779108268.992 MOUSE_MOVE      19 10
1779108269.012 MOUSE_MOVE      3 2
1779108269.032 MOUSE_MOVE      2 1
1779108269.052 MOUSE_MOVE      1 2
1779108269.072 MOUSE_MOVE      2 2
1779108269.092 MOUSE_MOVE      1 0
1779108269.112 MOUSE_MOVE      4 4
1779108269.132 MOUSE_MOVE      1 1
1779108269.172 MOUSE_MOVE      0 1
1779108269.192 MOUSE_MOVE      0 1
1779108269.232 MOUSE_MOVE      1 1
1779108269.252 MOUSE_MOVE      1 2
1779108269.272 MOUSE_MOVE      2 1
1779108269.292 MOUSE_MOVE      0 2
1779108269.312 MOUSE_MOVE      2 1
1779108269.412 MOUSE_MOVE      1 1
1779108269.432 MOUSE_MOVE      0 1
1779108269.632 MOUSE_MOVE      7 1
1779108269.652 MOUSE_MOVE      9 4
1779108269.672 MOUSE_MOVE      4 1
1779108269.692 MOUSE_MOVE      8 0
1779108269.713 MOUSE_MOVE      17 0
1779108269.732 MOUSE_MOVE      8 0
1779108269.752 MOUSE_MOVE      7 0
1779108269.772 MOUSE_MOVE      1 0
1779108269.832 MOUSE_MOVE      0 1
1779108269.852 MOUSE_MOVE      -8 2
1779108269.872 MOUSE_MOVE      -15 3
1779108269.892 MOUSE_MOVE      -29 6
1779108269.912 MOUSE_MOVE      -26 5
1779108269.932 MOUSE_MOVE      -8 4
1779108269.952 MOUSE_MOVE      -1 1
1779108269.972 MOUSE_MOVE      -1 0
1779108270.012 MOUSE_MOVE      -1 1
1779108270.032 MOUSE_MOVE      -1 1
1779108270.052 MOUSE_WHEEL                                backward
1779108270.112 MOUSE_MOVE      0 2
1779108270.132 MOUSE_MOVE      0 1
1779108270.152 MOUSE_MOVE      0 1
1779108270.154 MOUSE_WHEEL                                backward
1779108270.172 MOUSE_MOVE      0 1
1779108270.192 MOUSE_MOVE      0 1
1779108270.212 MOUSE_MOVE      0 1
1779108270.214 MOUSE_WHEEL                                backward
1779108270.252 MOUSE_MOVE      0 1
1779108270.253 MOUSE_WHEEL                                backward
1779108270.292 MOUSE_WHEEL                                backward
1779108270.472 MOUSE_WHEEL                                forward
1779108270.492 MOUSE_WHEEL                                forward
1779108270.533 MOUSE_WHEEL                                forward
1779108270.552 MOUSE_WHEEL                                forward
1779108270.632 MOUSE_WHEEL                                forward
1779108270.772 MOUSE_MOVE      0 1
1779108270.792 MOUSE_MOVE      5 -1
1779108270.814 MOUSE_MOVE      4 0
1779108270.818 MOUSE_WHEEL                                stop
1779108270.833 MOUSE_MOVE      5 -2
1779108270.852 MOUSE_MOVE      2 0
1779108270.872 MOUSE_MOVE      2 0
1779108270.892 MOUSE_MOVE      2 -1
1779108270.912 MOUSE_MOVE      6 0
1779108270.932 MOUSE_MOVE      5 0
1779108270.952 MOUSE_MOVE      1 0
1779108270.972 MOUSE_MOVE      1 0
1779108271.391 MOUSE_MOVE      0 1
1779108271.533 MOUSE_LEFT                                 down
1779108271.553 MOUSE_MOVE      -1 1
1779108271.573 MOUSE_MOVE      -1 4
1779108271.593 MOUSE_MOVE      0 2
1779108271.614 MOUSE_MOVE      0 10
1779108271.635 MOUSE_MOVE      0 5
1779108271.654 MOUSE_MOVE      0 6
1779108271.704 MOUSE_MOVE      0 27
1779108271.724 MOUSE_MOVE      0 4
