START_POS                      1479 15
1778583778.775 MOUSE_MOVE      -1 2
1778583778.795 MOUSE_MOVE      -11 8
1778583778.815 MOUSE_MOVE      -35 22
1778583778.835 MOUSE_MOVE      -51 31
1778583778.855 MOUSE_MOVE      -112 80
1778583778.875 MOUSE_MOVE      -87 66
1778583778.895 MOUSE_MOVE      -138 111
1778583778.915 MOUSE_MOVE      -88 74
1778583778.935 MOUSE_MOVE      -94 86
1778583778.955 MOUSE_MOVE      -53 61
1778583778.975 MOUSE_MOVE      -25 31
1778583778.995 MOUSE_MOVE      -28 44
1778583779.015 MOUSE_MOVE      -13 22
1778583779.035 MOUSE_MOVE      -17 31
1778583779.055 MOUSE_MOVE      -10 20
1778583779.075 MOUSE_MOVE      -10 21
1778583779.095 MOUSE_MOVE      -16 29
1778583779.115 MOUSE_MOVE      -6 18
1778583779.135 MOUSE_MOVE      -5 21
1778583779.155 MOUSE_MOVE      0 14
1778583779.175 MOUSE_MOVE      3 10
1778583779.195 MOUSE_MOVE      6 12
1778583779.215 MOUSE_MOVE      16 18
1778583779.235 MOUSE_MOVE      13 11
1778583779.255 MOUSE_MOVE      28 8
1778583779.275 MOUSE_MOVE      22 1
1778583779.295 MOUSE_MOVE      70 -9
1778583779.315 MOUSE_MOVE      117 -27
1778583779.335 MOUSE_MOVE      96 -34
1778583779.355 MOUSE_MOVE      155 -70
1778583779.375 MOUSE_MOVE      92 -56
1778583779.395 MOUSE_MOVE      114 -97
1778583779.415 MOUSE_MOVE      63 -72
1778583779.435 MOUSE_MOVE      71 -99
1778583779.455 MOUSE_MOVE      29 -55
1778583779.475 MOUSE_MOVE      16 -52
1778583779.495 MOUSE_MOVE      4 -22
1778583779.515 MOUSE_MOVE      1 -13
1778583779.535 MOUSE_MOVE      -1 -18
1778583779.555 MOUSE_MOVE      -4 -24
1778583779.575 MOUSE_MOVE      -4 -16
1778583779.595 MOUSE_MOVE      -5 -27
1778583779.615 MOUSE_MOVE      -5 -25
1778583779.635 MOUSE_MOVE      -6 -27
1778583779.655 MOUSE_MOVE      -5 -29
1778583779.675 MOUSE_MOVE      -2 -15
1778583779.695 MOUSE_MOVE      0 -9
1778583779.715 MOUSE_MOVE      -2 -11
1778583779.735 MOUSE_MOVE      -1 -9
1778583779.755 MOUSE_MOVE      -1 -4
1778583779.775 MOUSE_MOVE      -1 -4
1778583779.795 MOUSE_MOVE      -2 -3
1778583779.835 MOUSE_MOVE      0 -2
1778583779.855 MOUSE_MOVE      -1 -2
1778583779.875 MOUSE_MOVE      -1 -1
1778583779.895 MOUSE_MOVE      -1 -2
1778583779.935 MOUSE_MOVE      0 -2
1778583779.955 MOUSE_MOVE      -2 -3
1778583779.975 MOUSE_MOVE      -2 -4
1778583779.995 MOUSE_MOVE      0 -2
1778583780.015 MOUSE_MOVE      0 -1
1778583780.055 MOUSE_MOVE      0 -1
1778583780.415 MOUSE_LEFT                                 down
1778583780.515 MOUSE_LEFT                                 up
